tags,genre,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
"rock, alternative, indie, alternative_rock, punk, indie_rock, 80s, post_punk",Rock,1989,201693,0.669,0.783,2,-12.302,1,0.0295,0.0475,0.0296,0.115,0.896,124.518,4
"rock, electronic, alternative, indie, alternative_rock, experimental, british, chillout, piano, beautiful, mellow",Rock,2001,288733,0.127,0.335,11,-8.298,0,0.0329,0.786,0.427,0.111,0.0686,77.078,4
"rock, alternative, alternative_rock, punk, punk_rock",Pop,2010,206493,0.569,0.814,9,-6.819,1,0.0593,0.000217,0.0,0.0644,0.755,116.013,4
"rock, pop, classic_rock, singer_songwriter, british, piano, 70s, male_vocalists, oldies, love",RnB,2007,242546,0.546,0.283,3,-12.532,1,0.0328,0.818,1.64e-06,0.0873,0.294,127.954,4
"rock, classic_rock, hard_rock, 70s",Rock,1999,230800,0.434,0.89,0,-11.693,1,0.0579,0.000499,0.00037,0.234,0.7,142.0,4
"rock, alternative, alternative_rock, emo",Rock,2005,247373,0.468,0.876,10,-4.841,1,0.0692,0.00578,0.00625,0.035,0.13,135.062,4
"rock, alternative, indie, alternative_rock, indie_rock, 00s",Rock,2003,153133,0.452,0.889,4,-3.838,1,0.0379,0.312,0.8,0.558,0.591,145.056,4
"rock, alternative, indie, alternative_rock, indie_rock, male_vocalists, beautiful, 00s, mellow",Rock,2008,201733,0.437,0.748,4,-6.593,1,0.0689,0.196,0.000328,0.158,0.383,149.834,4
"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",Reggae,2004,254693,0.543,0.874,7,-9.46,1,0.0529,0.00255,0.0,0.164,0.673,138.086,4
"rock, alternative, metal, hard_rock, heavy_metal, hardcore, nu_metal",Folk,2001,201960,0.656,0.927,4,-3.396,0,0.0821,0.00364,0.00328,0.155,0.616,130.898,4
"rock, classic_rock, british, 70s",Rock,2009,194653,0.408,0.646,7,-7.181,1,0.0435,0.0714,0.0,0.176,0.565,80.148,4
"rock, alternative, indie, pop, indie_rock, american, indie_pop, 00s",Rock,2012,211840,0.843,0.456,2,-10.213,1,0.0407,0.837,0.0312,0.239,0.799,105.031,4
"rock, alternative, indie, pop, alternative_rock, indie_rock, british, chillout, love, beautiful, britpop, mellow",Rock,2002,331133,0.532,0.433,3,-9.423,1,0.0278,0.0942,0.0121,0.142,0.0395,140.666,4
"rock, electronic, alternative, indie, alternative_rock, experimental, british, 90s, britpop",Reggae,1997,117333,0.432,0.391,9,-14.99,1,0.242,0.813,0.00363,0.155,0.744,123.538,4
"rock, alternative, indie, alternative_rock, indie_rock, british, love, britpop",Rock,2009,338813,0.525,0.775,7,-6.101,1,0.0299,0.000794,0.00109,0.176,0.0764,130.949,4
"rock, alternative, indie, alternative_rock, indie_rock, piano, indie_pop, beautiful, 00s",Rock,2005,288333,0.285,0.732,0,-5.544,1,0.0323,0.078,0.0138,0.327,0.237,123.38,4
"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, beautiful, britpop, mellow",Reggae,1997,326533,0.241,0.295,4,-8.571,1,0.0319,0.224,0.0328,0.11,0.0398,114.759,5
"rock, alternative, indie, pop, alternative_rock, dance, british, 90s, britpop",Electronic,1994,290333,0.691,0.853,7,-11.298,0,0.0327,0.0171,0.0,0.0453,0.929,120.055,4
"rock, alternative, indie, alternative_rock, experimental, indie_rock, british, 90s, britpop",Rock,2008,246200,0.288,0.757,0,-8.065,1,0.0652,0.0117,0.14,0.363,0.311,89.694,4
"rock, alternative, pop, female_vocalists, soundtrack, 90s, love, pop_rock",Rock,2014,195066,0.48,0.883,3,-4.274,1,0.0369,0.0191,0.000189,0.173,0.434,100.088,4
"rock, classic_rock, hard_rock, progressive_rock, blues, psychedelic, 70s, 60s, psychedelic_rock, blues_rock",Country,2003,1525253,0.346,0.893,2,-7.142,1,0.259,0.0054,0.399,0.714,0.176,126.824,4
"rock, alternative, alternative_rock, hard_rock, grunge",Blues,2002,277840,0.433,0.854,9,-3.868,1,0.0483,0.000336,0.000177,0.162,0.368,89.4,4
"rock, electronic, classic_rock, experimental, instrumental, progressive_rock, british, psychedelic, 70s, psychedelic_rock",Rock,1973,225384,0.389,0.563,9,-21.191,1,0.0622,0.65,0.903,0.104,0.134,165.393,4
"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, post_rock, 00s, britpop",RnB,2000,315973,0.403,0.757,7,-9.931,0,0.0371,0.0496,0.848,0.305,0.573,157.957,4
"rock, alternative, metal, alternative_rock, hard_rock, emo, nu_metal",Rock,2010,208213,0.462,0.922,11,-3.827,1,0.0498,0.0851,0.0,0.233,0.432,89.888,4
"rock, alternative, alternative_rock, 90s, grunge",Rock,1991,156426,0.341,0.964,11,-5.327,0,0.107,1.26e-05,0.000103,0.151,0.459,152.192,4
"rock, alternative, indie, alternative_rock, indie_rock, 00s",Jazz,2008,204226,0.497,0.802,9,-5.807,1,0.0404,0.0154,0.000219,0.0775,0.402,112.287,4
"rock, alternative, alternative_rock, funk",Country,2006,247666,0.695,0.993,0,-3.114,1,0.0612,0.00177,0.00246,0.0814,0.281,107.951,4
"rock, pop, classic_rock, progressive_rock, british, 70s",Rock,2006,304440,0.47,0.375,10,-10.876,1,0.0283,0.256,0.0,0.361,0.418,89.271,4
"rock, alternative, indie, female_vocalists, alternative_rock, indie_rock",Rock,2006,186226,0.523,0.849,2,-3.392,1,0.0701,0.0214,7.38e-06,0.0823,0.277,158.808,4
"rock, alternative, indie, pop, alternative_rock, indie_rock, 00s",Electronic,2009,284360,0.512,0.88,4,-6.697,1,0.041,0.00068,1.41e-05,0.116,0.846,152.007,4
"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop",Rock,2006,145626,0.618,0.856,11,-4.842,0,0.0302,0.00325,0.0,0.149,0.907,110.678,4
"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, britpop",Rock,1999,358693,0.738,0.786,2,-9.07,1,0.0363,0.0483,0.294,0.101,0.718,121.609,4
"rock, classic_rock, singer_songwriter, soundtrack, piano, 70s, beautiful, mellow",Pop,1972,224600,0.39,0.206,10,-15.74,1,0.0327,0.688,0.000412,0.102,0.106,147.27,3
"rock, alternative, indie, alternative_rock, indie_rock, 00s",Rock,2005,160266,0.478,0.657,10,-8.523,0,0.323,0.0778,1.85e-05,0.121,0.611,151.229,4
"rock, pop, classic_rock, experimental, progressive_rock, british, psychedelic, 60s, psychedelic_rock",Rock,2014,303000,0.375,0.425,4,-11.181,0,0.0256,0.182,0.0172,0.0872,0.31,79.049,4
"rock, alternative, indie, pop, female_vocalists, british, indie_pop",Rock,2010,232360,0.625,0.858,9,-3.483,0,0.0462,0.092,1.36e-06,0.266,0.418,116.98,4
"rock, alternative, indie, alternative_rock, indie_rock, indie_pop",Rock,2007,247280,0.647,0.903,11,-5.012,0,0.0374,0.0101,4.22e-05,0.253,0.96,135.921,4
"rock, alternative, indie, alternative_rock, experimental, indie_rock, british, 90s, britpop",Rock,1995,259200,0.429,0.88,9,-8.013,0,0.109,0.0206,0.698,0.607,0.255,148.965,3
"rock, pop, female_vocalists, dance, 80s, new_wave, 70s",Rock,1999,294040,0.507,0.916,2,-6.505,1,0.048,0.000849,0.00564,0.805,0.457,115.851,4
"rock, alternative, indie, alternative_rock, punk, indie_rock, 80s, american, post_punk, grunge",Rock,2005,188013,0.288,0.967,5,-4.267,1,0.0947,0.000616,0.741,0.94,0.449,133.044,4
